resolved_date,issue_id,resolution,description,priority,assignee,assignee_username,created_date,summary,status,mapped_type,type
2016-08-09T00:04:32.000+0000,DERBY-6879,Fixed,"Deadlock between XA timer cleanup task and the ContextManager.cleanupOnError

Found one Java-level deadlock:
=============================
""DRDAConnThread_34"":
  waiting to lock monitor 0x0000000104b14d18 (object 0xfffffffd9090f058, a org.apache.derby.jdbc.XATransactionState),
  which is held by ""Timer-0""
""Timer-0"":
  waiting to lock monitor 0x00000001038b96e8 (object 0xfffffffd9090d8b0, a org.apache.derby.impl.jdbc.EmbedConnection40),
  which is held by ""DRDAConnThread_34""
 
Java stack information for the threads listed above:
===================================================
""DRDAConnThread_34"":
     at org.apache.derby.jdbc.XATransactionState.cleanupOnError(Unknown Source)
     - waiting to lock <0xfffffffd9090f058> (a org.apache.derby.jdbc.XATransactionState)
     at org.apache.derby.iapi.services.context.ContextManager.cleanupOnError(Unknown Source)
     at org.apache.derby.impl.jdbc.TransactionResourceImpl.cleanupOnError(Unknown Source)
     at org.apache.derby.impl.jdbc.TransactionResourceImpl.handleException(Unknown Source)
     at org.apache.derby.impl.jdbc.EmbedConnection.handleException(Unknown Source)
     at org.apache.derby.impl.jdbc.ConnectionChild.handleException(Unknown Source)
     at org.apache.derby.impl.jdbc.EmbedStatement.executeStatement(Unknown Source)
     - locked <0xfffffffd9090d8b0> (a org.apache.derby.impl.jdbc.EmbedConnection40)
     at org.apache.derby.impl.jdbc.EmbedPreparedStatement.executeStatement(Unknown Source)
     at org.apache.derby.impl.jdbc.EmbedPreparedStatement.execute(Unknown Source)
     at org.apache.derby.iapi.jdbc.BrokeredPreparedStatement.execute(Unknown Source)
     at org.apache.derby.impl.drda.DRDAStatement.execute(Unknown Source)
     at org.apache.derby.impl.drda.DRDAConnThread.parseEXCSQLSTTobjects(Unknown Source)
     at org.apache.derby.impl.drda.DRDAConnThread.parseEXCSQLSTT(Unknown Source)
     at org.apache.derby.impl.drda.DRDAConnThread.processCommands(Unknown Source)
     at org.apache.derby.impl.drda.DRDAConnThread.run(Unknown Source)
""Timer-0"":
     at org.apache.derby.impl.jdbc.EmbedConnection.xa_rollback(Unknown Source)
     - waiting to lock <0xfffffffd9090d8b0> (a org.apache.derby.impl.jdbc.EmbedConnection40)
     at org.apache.derby.jdbc.XATransactionState.cancel(Unknown Source)
     - locked <0xfffffffd9090f058> (a org.apache.derby.jdbc.XATransactionState)
     at org.apache.derby.jdbc.XATransactionState$CancelXATransactionTask.run(Unknown Source)
     at java.util.TimerThread.mainLoop(Timer.java:555)
     at java.util.TimerThread.run(Timer.java:505)
 
Found 1 deadlock.


This deadlock caused Derby to create 18000 transaction recovery logs because of the XA transaction that did not cleanup in the timeout.  Rebooting the system would cause a 50 hour boot up time to process the transaction logs so recovery had to be done by going to a backup database before the issue occurred.


",Major,Brett Bergquist,,2016-03-29T11:04:08.000+0000,Engine deadlock between XA timeout handling and cleanupOnError,Resolved,bug,Bug
2016-02-25T03:47:10.000+0000,DERBY-6861,Fixed,"The KEYS file is missing from http://www.apache.org/dist/db/derby/.

The KEYS file is needed for the archives server as well as for current releases, so the KEYS file must be served from the ASF mirror hosts, rather than a location in the SVN source tree.

Please move the KEYS file to 

https://dist.apache.org/repos/dist/release/db/derby/

making sure that it contains all the keys previously used to sign releases.

Also please change the KEYS link(s) on download pages accordingly.",Major,None,,2016-01-31T23:22:37.000+0000,Missing KEYS file,Closed,bug,Bug
2016-02-04T10:15:31.000+0000,DERBY-6860,Fixed,"Automatic download of junit.jar seems to be broken. If you don't already have a copy in tools/java, ""ant all"" fails like this:

{noformat}
junit_check:

BUILD FAILED
/code/derby/trunk/build.xml:66: The following error occurred while executing this line:
/code/derby/trunk/build.xml:177: junit property is set to /code/derby/trunk/tools/java/junit.jar, but there is no junit.jar there.
{noformat}

The problem seems to be that junit_check refuses to continue if the junit property is set, but does not point to an existing file. This property is set when the setCompilerProperties target, which runs before junit_check, loads tools/ant/properties/extrapath.properties, as extrapath.properties contains the following line:

{noformat}
junit=${javatools.dir}/junit.jar
{noformat}

Since the install_junit target depends on the check_junit target, this prevents the build script from downloading junit.jar automatically.

Workaround: run ""ant install_junit"" before ""ant all""",Major,Knut Anders Hatlen,,2016-01-28T14:52:24.000+0000,Automatic download of junit.jar broken,Closed,bug,Bug
2016-02-04T20:09:08.000+0000,DERBY-6864,Fixed,"RawDBReaderTest fails on Windows with the following output:

{noformat}
.<assertDirectoryDeleted> attempt 1 left 2 files/dirs behind: 0=extinout\recovery.sql 1=extinout
<assertDirectoryDeleted> attempt 2 left 2 files/dirs behind: 0=extinout\recovery.sql 1=extinout
<assertDirectoryDeleted> attempt 3 left 2 files/dirs behind: 0=extinout\recovery.sql 1=extinout
<assertDirectoryDeleted> attempt 4 left 2 files/dirs behind: 0=extinout\recovery.sql 1=extinout
F
Time: 39,498
There was 1 failure:
1) RawDBReaderTest:embeddedjunit.framework.AssertionFailedError: Failed to delete 2 files (root=C:\cygwin64\tmp\derbytst\extinout): C:\cygwin64\tmp\derbytst\extinout\recovery.sql (isDir=false, canRead=true, canWrite=true, size=801), C:\cygwin64\tmp\derbytst\extinout (isDir=true, canRead=true, canWrite=true, size=0)
        at org.apache.derbyTesting.junit.BaseTestCase.assertDirectoryDeleted(BaseTestCase.java:1125)
        at org.apache.derbyTesting.junit.DropDatabaseSetup.removeDirectory(DropDatabaseSetup.java:128)
        at org.apache.derbyTesting.junit.DropDatabaseSetup.removeDirectory(DropDatabaseSetup.java:118)
        at org.apache.derbyTesting.junit.SupportFilesSetup.tearDown(SupportFilesSetup.java:130)
        at junit.extensions.TestSetup$1.protect(TestSetup.java:24)
        at junit.extensions.TestSetup.run(TestSetup.java:27)

FAILURES!!!
Tests run: 1,  Failures: 1,  Errors: 0
{noformat}",Major,Knut Anders Hatlen,,2016-02-03T17:56:50.000+0000,RawDBReaderTest fails on Windows,Closed,bug,Bug
2016-02-25T03:47:51.000+0000,DERBY-6862,Fixed,"The links to archive releases have been fixed for the archives themselves, but the ASC and MD5 files still point to www.apache.org instead of archive.apache.org.",Major,None,,2016-01-31T23:28:28.000+0000,Broken links to non-current release hashes and sigs,Closed,bug,Bug
2016-06-18T16:02:08.000+0000,DERBY-6890,Fixed,"For a database with ""collation=/territory="" information configured via
the JDBC Connection URL at database connection time, individual
columns in tables and indexes in the database have collation identification
which is stored as part of the table/index conglomerate.

When an ALTER TABLE DROP COLUMN statement is run against
such a database, the drop column processing performs logic which
re-builds all of the (remaining) secondary indexes for that table
to reflect their new state following the removal of that column.

This index rebuild process does not properly re-configure the
collation information for column(s) in those index(es), leaving
the indexes in a corrupt state.

As a workaround, following the ALTER TABLE DROP COLUMN, the
damaged secondary indexes can be dropped and recreated explicitly.

== Original issue description below ==

After issue https://issues.apache.org/jira/browse/DERBY-3888 was fixed, we want to use the 'GENERATED BY DEFAULT' feature 
for our tables.  

To migrate our tables, we use this sql: 
     ALTER TABLE MODULE ADD COLUMN ID_TEMP BIGINT GENERATED BY DEFAULT AS IDENTITY;
     UPDATE MODULE SET ID_TEMP = ID;
     ALTER TABLE MODULE ALTER COLUMN ID_TEMP NOT NULL;
     ALTER TABLE MODULE DROP ID;
     RENAME COLUMN MODULE.ID_TEMP TO ID;

But after I applied it, I started to get this exception:
Caused by: org.apache.derby.shared.common.sanity.AssertFailure: ASSERT FAILED type of inserted column[0] = org.apache.derby.iapi.types.CollatorSQLVarchartype of template column[0] = org.apache.derby.iapi.types.SQLVarchar
	at org.apache.derby.shared.common.sanity.SanityManager.THROWASSERT(SanityManager.java:162)
	at org.apache.derby.shared.common.sanity.SanityManager.THROWASSERT(SanityManager.java:147)
	at org.apache.derby.impl.store.access.btree.OpenBTree.isIndexableRowConsistent(OpenBTree.java:519)
	at org.apache.derby.impl.store.access.btree.BTreeController.doIns(BTreeController.java:679)
	at org.apache.derby.impl.store.access.btree.BTreeController.insert(BTreeController.java:1372)
	at org.apache.derby.impl.store.access.btree.index.B2IController.insert(B2IController.java:210)
	at org.apache.derby.impl.sql.execute.IndexChanger.insertAndCheckDups(IndexChanger.java:565)
	at org.apache.derby.impl.sql.execute.IndexChanger.doInsert(IndexChanger.java:393)
	at org.apache.derby.impl.sql.execute.IndexChanger.insert(IndexChanger.java:713)
	at org.apache.derby.impl.sql.execute.IndexSetChanger.insert(IndexSetChanger.java:268)
	at org.apache.derby.impl.sql.execute.RowChangerImpl.insertRow(RowChangerImpl.java:458)
	at org.apache.derby.impl.sql.execute.InsertResultSet.normalInsertCore(InsertResultSet.java:881)
	at org.apache.derby.impl.sql.execute.InsertResultSet.open(InsertResultSet.java:452)
	at org.apache.derby.impl.sql.GenericPreparedStatement.executeStmt(GenericPreparedStatement.java:473)
	at org.apache.derby.impl.sql.GenericPreparedStatement.execute(GenericPreparedStatement.java:352)
	at org.apache.derby.impl.jdbc.EmbedStatement.executeStatement(EmbedStatement.java:1340)
	... 30 more

I attached Test.groovy class which shows this issue. 

also I found this workaround: 
we need to drop all indexes and create them again, after we applied this pk column update.





",Major,Bryan Pendleton,,2016-05-27T06:57:31.000+0000,ALTER TABLE DROP COLUMN corrupts secondary index collation information,Resolved,bug,Bug
2016-05-03T03:22:34.000+0000,DERBY-6884,Fixed,"Using SYSCS_EXPORT_TABLE_LOBS_TO_EXTFILE to export a table containing a blob column, SYSCS_IMPORT_TABLE_LOBS_FROM_EXTFILE  will fail with a NumberFormatException if the offset for a blob record is > Integer.MAX_VALUE.  This is because ImportReadData.initExternalLobFile() is parsing the offset as an Integer.

The stack trace and a program to reproduce are below.

java.lang.NumberFormatException: For input string: ""2147483770""
	at java.lang.NumberFormatException.forInputString(NumberFormatException.java:65) ~[na:1.8.0_45]
	at java.lang.Integer.parseInt(Integer.java:583) ~[na:1.8.0_45]
	at java.lang.Integer.parseInt(Integer.java:615) ~[na:1.8.0_45]
	at org.apache.derby.impl.load.ImportReadData.initExternalLobFile(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.impl.load.ImportReadData.getBlobColumnFromExtFile(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.impl.load.ImportAbstract.getBlob(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.impl.load.Import.getBlob(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.iapi.types.SQLBlob.setValueFromResultSet(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.impl.sql.execute.VTIResultSet.populateFromResultSet(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.impl.sql.execute.VTIResultSet.getNextRowCore(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.impl.sql.execute.ProjectRestrictResultSet.getNextRowCore(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.impl.sql.execute.NormalizeResultSet.getNextRowCore(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.impl.sql.execute.NoPutResultSetImpl.getNextRowFromRowSource(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.impl.store.access.heap.HeapController.load(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.impl.store.access.heap.Heap.load(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.impl.store.access.RAMTransaction.loadConglomerate(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.impl.store.access.RAMTransaction.recreateAndLoadConglomerate(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.impl.sql.execute.InsertResultSet.bulkInsertCore(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.impl.sql.execute.InsertResultSet.open(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.impl.sql.GenericPreparedStatement.executeStmt(Unknown Source) ~[derby-10.11.1.1.jar:na]
	at org.apache.derby.impl.sql.GenericPreparedStatement.execute(Unknown Source) ~[derby-10.11.1.1.jar:na]
	... 36 common frames omitted

==================================
package blob;

import java.io.BufferedInputStream;
import java.io.File;
import java.io.FileInputStream;
import java.io.IOException;
import java.sql.*;

public final class DerbyIssue {
    // derby url
    public static final String DBURL = ""jdbc:derby:testdb;create=true"";
    // any random binary file such as a large image or document
    public static final String BLOB_DATA_FILE = ""..."";
    public static final String EXPORT_TABLE_FILE = ""table-data"";
    public static final String EXPORT_BLOB_FILE = ""blob-data"";

    public static void main(String... args) throws Exception {
        final DerbyIssue test = new DerbyIssue();
        test.run();
    }

    public void run() throws Exception {
        Class.forName(""org.apache.derby.jdbc.ClientDriver"").getConstructor().newInstance();

        try(final Connection con = DriverManager.getConnection(DBURL)) {
            try (final Statement stmt = con.createStatement()) {
                stmt.execute(""CREATE TABLE TESTBLOB(id BIGINT, content BLOB)"");
            }

            System.out.printf(""inserting test data%n"");

            try (final PreparedStatement pstmt = con.prepareStatement(""INSERT INTO TESTBLOB (id, content) VALUES (?, ?)"")) {
                long id = 1;
                long byteCount = 0;
                final File content = new File(BLOB_DATA_FILE);
                while (byteCount < Integer.MAX_VALUE) {
                    insertBlob(pstmt, id, content);
                    id++;
                    byteCount += content.length();
                    if (id % 100 == 0) {
                        System.out.printf(""%d%n"", byteCount);
                    }
                }
                insertBlob(pstmt, id, content);
                byteCount += content.length();

                System.out.printf(""%d bytes written to testblob table%n"", byteCount);
            }

            final File exportFile = new File(EXPORT_TABLE_FILE);
            final File blobFile = new File(EXPORT_BLOB_FILE);
            try (final CallableStatement stmt = con.prepareCall(
                    ""CALL SYSCS_UTIL.SYSCS_EXPORT_TABLE_LOBS_TO_EXTFILE (null, ?, ?, null, null, null, ?)"")) {
                stmt.setString(1, ""TESTBLOB"");
                stmt.setString(2, exportFile.toString());
                stmt.setString(3, blobFile.toString());
                stmt.execute();
            }

            System.out.printf(""testblob table exported%n"");

            try (final Statement stmt = con.createStatement()) {
                stmt.execute(""TRUNCATE TABLE TESTBLOB"");
            }

            System.out.printf(""testblob table truncated%n"");

            try (final CallableStatement stmt = con.prepareCall(
                    ""CALL SYSCS_UTIL.SYSCS_IMPORT_TABLE_LOBS_FROM_EXTFILE (null, ?, ?, null, null, null, 0)"")) {
                stmt.setString(1, ""TESTBLOB"");
                stmt.setString(2, exportFile.toString());
                stmt.execute();
            }

            System.out.printf(""testblob data imported%n"");
        }
    }

    private void insertBlob(PreparedStatement pstmt, long id, File content) throws IOException, SQLException {
        try(BufferedInputStream contentStream = new BufferedInputStream(new FileInputStream(content))) {
            pstmt.setLong(1, id);
            pstmt.setBinaryStream(2, contentStream);
            pstmt.executeUpdate();
        }
    }
}",Major,Bryan Pendleton,,2016-04-18T14:37:15.000+0000,SYSCS_IMPORT_TABLE_LOBS_FROM_EXTFILE can't import more than Integer.MAX_VALUE bytes of blob data,Resolved,bug,Bug
2016-04-28T02:44:54.000+0000,DERBY-6880,Fixed,"When updating a single column in a table using executeUpdate() via Vert.x I am receiving the following exception:

java.sql.SQLDataException: Invalid character string format for type long.
	at org.apache.derby.impl.jdbc.SQLExceptionFactory.getSQLException(SQLExceptionFactory.java:84)
	at org.apache.derby.impl.jdbc.Util.generateCsSQLException(Util.java:233)
	at org.apache.derby.impl.jdbc.TransactionResourceImpl.wrapInSQLException(TransactionResourceImpl.java:424)
	at org.apache.derby.impl.jdbc.TransactionResourceImpl.handleException(TransactionResourceImpl.java:353)
	at org.apache.derby.impl.jdbc.EmbedConnection.handleException(EmbedConnection.java:2405)
	at org.apache.derby.impl.jdbc.ConnectionChild.handleException(ConnectionChild.java:88)
	at org.apache.derby.impl.jdbc.EmbedStatement.executeStatement(EmbedStatement.java:1432)
	at org.apache.derby.impl.jdbc.EmbedPreparedStatement.executeStatement(EmbedPreparedStatement.java:1709)
	at org.apache.derby.impl.jdbc.EmbedPreparedStatement.executeLargeUpdate(EmbedPreparedStatement.java:320)
	at org.apache.derby.impl.jdbc.EmbedPreparedStatement.executeUpdate(EmbedPreparedStatement.java:309)
	at com.mchange.v2.c3p0.impl.NewProxyPreparedStatement.executeUpdate(NewProxyPreparedStatement.java:410)
	at io.vertx.ext.jdbc.impl.actions.JDBCUpdate.execute(JDBCUpdate.java:50)
	at io.vertx.ext.jdbc.impl.actions.JDBCUpdate.execute(JDBCUpdate.java:34)
	at io.vertx.ext.jdbc.impl.actions.AbstractJDBCAction.handle(AbstractJDBCAction.java:48)
	at io.vertx.ext.jdbc.impl.actions.AbstractJDBCAction.handle(AbstractJDBCAction.java:33)
	at io.vertx.core.impl.ContextImpl.lambda$executeBlocking$15(ContextImpl.java:296)
	at io.vertx.core.impl.OrderedExecutorFactory$OrderedExecutor.lambda$new$261(OrderedExecutorFactory.java:91)
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)
	at java.lang.Thread.run(Thread.java:745)
Caused by: ERROR 22018: Invalid character string format for type long.
	at org.apache.derby.iapi.error.StandardException.newException(StandardException.java:290)
	at org.apache.derby.iapi.error.StandardException.newException(StandardException.java:285)
	at org.apache.derby.iapi.types.SQLChar.getLong(SQLChar.java:447)
	at org.apache.derby.impl.sql.execute.UpdateResultSet.collectAffectedRows(UpdateResultSet.java:534)
	at org.apache.derby.impl.sql.execute.UpdateResultSet.open(UpdateResultSet.java:272)
	at org.apache.derby.impl.sql.GenericPreparedStatement.executeStmt(GenericPreparedStatement.java:473)
	at org.apache.derby.impl.sql.GenericPreparedStatement.execute(GenericPreparedStatement.java:352)
	at org.apache.derby.impl.jdbc.EmbedStatement.executeStatement(EmbedStatement.java:1340)
	... 13 more

Further details and discussion can be found here:

https://mail-archives.apache.org/mod_mbox/db-derby-user/201603.mbox/%3CCAHbUnCXkHMKE1u9R3D-z9Njp8goAV7%2B0vPOmgafH8DCqG8mSpQ%40mail.gmail.com%3E

Notably, I have tried executing the same update via other means (for example, manually via SquirrelSQL, and via the ORMLite framework) and the update succeeds. This may be due to the exact JDBC APIs they are using (for example, SquirrelSQL is not using a prepared statement, and ORMLite updates all the columns when it updates a table rather than just some of them).

I have created a complete but minimal example that illustrates the problem in the following GitHub project:

https://github.com/ssadedin/DerbyDebug

My derby / system information is as follows:

$ java -cp 'lib/*' org.apache.derby.tools.sysinfo
------------------ Java Information ------------------
Java Version:    1.8.0_72
Java Vendor:     Oracle Corporation
Java home:       /Library/Java/JavaVirtualMachines/jdk1.8.0_72.jdk/Contents/Home/jre
Java classpath:  lib/derby.jar:lib/derbyclient.jar
OS name:         Mac OS X
OS architecture: x86_64
OS version:      10.11.1
Java user name:  simon
Java user home:  /Users/simon
Java user dir:   /Users/simon/Documents/workspace/BrokenDerby
java.specification.name: Java Platform API Specification
java.specification.version: 1.8
java.runtime.version: 1.8.0_72-b15
--------- Derby Information --------
[/Users/simon/Documents/workspace/BrokenDerby/lib/derby.jar] 10.12.1.1 - (Unversioned directory)
[/Users/simon/Documents/workspace/BrokenDerby/lib/derbyclient.jar] 10.12.1.1 - (Unversioned directory)
------------------------------------------------------
----------------- Locale Information -----------------
------------------------------------------------------
------------------------------------------------------
",Major,Bryan Pendleton,,2016-03-29T23:19:39.000+0000,Update failing with java.sql.SQLDataException ,Resolved,bug,Bug
2016-04-11T10:41:51.000+0000,DERBY-6881,Fixed,"With JDK 9-ea b111 there are a number of test failures.

Tests that use ClassLoaderTestSetup fail because the context class loader no longer is a URLClassLoader, which causes a ClassCastException in the class loader magic performed by the test setup:

{noformat}
java.lang.ClassCastException: jdk.internal.loader.ClassLoaders$AppClassLoader (in module: java.base) cannot be cast to java.net.URLClassLoader (in module: java.base)
	at org.apache.derbyTesting.junit.ClassLoaderTestSetup$1.run(ClassLoaderTestSetup.java:53)
	at org.apache.derbyTesting.junit.ClassLoaderTestSetup$1.run(ClassLoaderTestSetup.java:50)
	at java.security.AccessController.doPrivileged(java.base@9-ea/Native Method)
	at org.apache.derbyTesting.junit.ClassLoaderTestSetup.makeClassLoader(ClassLoaderTestSetup.java:49)
	at org.apache.derbyTesting.junit.ClassLoaderTestSetup.setUp(ClassLoaderTestSetup.java:64)
	at junit.extensions.TestSetup$1.protect(TestSetup.java:20)
	at junit.extensions.TestSetup.run(TestSetup.java:25)
	at org.apache.derbyTesting.junit.BaseTestSetup.run(BaseTestSetup.java:58)
{noformat}

CollationTest, CollationTest2, LocalizedAttributeScriptTest and LocalizedDisplayScriptTest have failures, for example:

{noformat}
junit.framework.AssertionFailedError: Column value mismatch @ column 'ID', row 1:
    Expected: >4<
    Found:    >6<

    ID,NAME
    -- ----
   [6, aacorn]
   [4, Acorn]
   [2, Ącorn]
   [0, Smith]
   [5, Śmith]
   [1, Zebra]
   [3, Żebra]

	at org.apache.derbyTesting.junit.BaseTestCase.newAssertionFailedError(BaseTestCase.java:1177)
	at org.apache.derbyTesting.junit.JDBC.addRsToReport(JDBC.java:1998)
	at org.apache.derbyTesting.junit.JDBC.assertRowInResultSet(JDBC.java:1497)
	at org.apache.derbyTesting.junit.JDBC.assertRowInResultSet(JDBC.java:1395)
	at org.apache.derbyTesting.junit.JDBC.assertFullResultSetMinion(JDBC.java:1257)
	at org.apache.derbyTesting.junit.JDBC.assertFullResultSet(JDBC.java:1168)
	at org.apache.derbyTesting.junit.JDBC.assertFullResultSet(JDBC.java:1125)
	at org.apache.derbyTesting.junit.JDBC.assertFullResultSet(JDBC.java:1083)
	at org.apache.derbyTesting.functionTests.tests.lang.CollationTest.checkLangBasedQuery(CollationTest.java:2055)
	at org.apache.derbyTesting.functionTests.tests.lang.CollationTest.testNorwayCollation(CollationTest.java:482)
	at org.apache.derbyTesting.junit.BaseTestCase.runBare(BaseTestCase.java:120)
	at org.apache.derbyTesting.junit.BaseJDBCTestCase.runBareOverridable(BaseJDBCTestCase.java:443)
	at org.apache.derbyTesting.junit.BaseJDBCTestCase.runBare(BaseJDBCTestCase.java:460)
	at junit.extensions.TestDecorator.basicRun(TestDecorator.java:24)
	at junit.extensions.TestSetup$1.protect(TestSetup.java:21)
	at junit.extensions.TestSetup.run(TestSetup.java:25)
	at junit.extensions.TestDecorator.basicRun(TestDecorator.java:24)
	at junit.extensions.TestSetup$1.protect(TestSetup.java:21)
	at junit.extensions.TestSetup.run(TestSetup.java:25)
	at org.apache.derbyTesting.junit.BaseTestSetup.run(BaseTestSetup.java:58)
	at junit.extensions.TestDecorator.basicRun(TestDecorator.java:24)
	at junit.extensions.TestSetup$1.protect(TestSetup.java:21)
	at junit.extensions.TestSetup.run(TestSetup.java:25)
Caused by: junit.framework.AssertionFailedError: Column value mismatch @ column 'ID', row 1:
    Expected: >4<
    Found:    >6<
	at org.apache.derbyTesting.junit.JDBC.assertRowInResultSet(JDBC.java:1492)
{noformat}

And the stack trace deletion patterns in the Sed class seem to be missing out on some stack frames now, causing failures like this one in dblook_test and dblook_test_territory:

{noformat}
********* Diff file derbyall/derbytools/dblook_test.diff
*** Start: dblook_test jdk9-ea derbyall:derbytools 2016-03-29 14:16:38 ***
6511a6512
> 	at java.io.FileInputStream.open0(java.base@9-ea/Native Method)
Test Failed.
{noformat}",Major,Knut Anders Hatlen,,2016-03-30T11:44:34.000+0000,Test failures with JDK 9-ea b111,Closed,bug,Bug
2016-02-28T17:32:36.000+0000,DERBY-6875,Fixed,"The download pages have a box for choosing a mirror.

However this is broken - it does not contain a list of mirrors.
This is because the HTML pages are broken.

They should contain something like the following from

http://tomcat.apache.org/download-90.html

{code}
<form action=""[location]"" method=""get"" id=""SelectMirror"">
<p>
       Other mirrors: <select name=""Preferred"">
         [if-any http]
           [for http]<option value=""[http]"">[http]</option>[end]
         [end]
         [if-any ftp]
           [for ftp]<option value=""[ftp]"">[ftp]</option>[end]
         [end]
         [if-any backup]
           [for backup]<option value=""[backup]"">[backup] (backup)</option>[end]
           [end]
         </select><input type=""submit"" value=""Change"">
</p>
</form>
{code}

However they contain:

{code}
<form action=""[location]"" method=""get"" id=""SelectMirror"">Other mirrors: <select name=""Preferred"">
<!--[if-any http] [for http]--><option value=""[http]"">[http]</option>
<!--[end] [end]-->
<!--[if-any ftp] [for ftp]--><option value=""[ftp]"">[ftp]</option>
<!--[end] [end]-->
<!--[if-any backup] [for backup]--><option value=""[backup]"">[backup] (backup)</option>
<!--[end] [end]--></select> <input type=""submit"" value=""Change"">
</form>
{code}

The required templating code has been commented out, so does not work.",Major,Bryan Pendleton,,2016-02-25T19:04:46.000+0000,Partially broken download pages,Closed,bug,Bug
