commit_hash,issue_id,is_linked
f5bf9a9edf37b991d79e21ac4a90ca5858e93f1e,DERBY-6879,False
14248ac90504521fb5a89c737d23e1429311a529,DERBY-6861,Unlabeled
14248ac90504521fb5a89c737d23e1429311a529,DERBY-6860,Unlabeled
14248ac90504521fb5a89c737d23e1429311a529,DERBY-6864,False
14248ac90504521fb5a89c737d23e1429311a529,DERBY-6862,Unlabeled
4afca48171ca7bbd7482ccec0fef2b0ab17bf44a,DERBY-6879,False
ce40a31daf0c8c7c2d8a7059e5c0a6d01d3ed440,DERBY-6879,False
02597f233f3cb7fbceceeafe9ea81ff42999a5c8,DERBY-6890,False
02597f233f3cb7fbceceeafe9ea81ff42999a5c8,DERBY-6879,False
cd362863b4e93014c1302b60b6fb831657095941,DERBY-6879,False
dbed020d3949dd7707a6eca23741aa5ba155ece1,DERBY-6879,False
a12152aea62541add46b22880557d3fc79850c39,DERBY-6890,False
a12152aea62541add46b22880557d3fc79850c39,DERBY-6879,False
21044de332f0d0fc94d2cc8efb7a1619dfb159b7,DERBY-6884,False
21044de332f0d0fc94d2cc8efb7a1619dfb159b7,DERBY-6880,True
21044de332f0d0fc94d2cc8efb7a1619dfb159b7,DERBY-6879,False
5a3453dbfe3a3cc639d908704c1a134b291a9697,DERBY-6861,Unlabeled
5a3453dbfe3a3cc639d908704c1a134b291a9697,DERBY-6860,Unlabeled
5a3453dbfe3a3cc639d908704c1a134b291a9697,DERBY-6864,True
5a3453dbfe3a3cc639d908704c1a134b291a9697,DERBY-6862,Unlabeled
0feae43b70baf831f874eada40f3299ee9a5cc0b,DERBY-6861,Unlabeled
0feae43b70baf831f874eada40f3299ee9a5cc0b,DERBY-6864,False
0feae43b70baf831f874eada40f3299ee9a5cc0b,DERBY-6862,Unlabeled
08cc0f89fe077234078430bf9b93ebc9dfd70ac5,DERBY-6879,False
62ab90001a696ea89c87407704de6c9c90efbc83,DERBY-6884,True
62ab90001a696ea89c87407704de6c9c90efbc83,DERBY-6879,False
bb55cc3e452a7cbac32384d77c2b47a58cb16b57,DERBY-6879,False
d21039a4ecc510b9d8337794807c4a6ca084c8b2,DERBY-6890,False
d21039a4ecc510b9d8337794807c4a6ca084c8b2,DERBY-6879,False
44694000a916010bf7013ce95277efe9ea1805e1,DERBY-6890,False
44694000a916010bf7013ce95277efe9ea1805e1,DERBY-6879,False
0d57d84cbdf250b621756d55015fcd7e9369a695,DERBY-6861,Unlabeled
0d57d84cbdf250b621756d55015fcd7e9369a695,DERBY-6864,False
0d57d84cbdf250b621756d55015fcd7e9369a695,DERBY-6862,Unlabeled
698bfec50980e157610430c491ead020e90c824b,DERBY-6879,True
