resolved_date,issue_id,resolution,description,priority,assignee,assignee_username,created_date,summary,status,mapped_type,type
2017-05-29T05:43:41.000-0400,DROOLS-1585,Done,"In a nested context scenario containing anonymous entry, the type inference resolve to the parent Decision/BKM node instead of returning the parent ContextEntry where a variable might actually be defined.

For example in this scenario
!Workspace 1_181.png! 

the anonymous entry type inference for the expression {{AgePlus1Minus1 + 0}} is given the type of the BKM node itself, instead of being inferred as the type for the context entry ""Age"".",Major,Matteo Mortari,,2017-05-26T04:59:39.000-0400,DMNEvaluatorCompiler wrong type inference for nested context anonymous entry,Resolved,bug,Bug
2017-05-29T02:45:02.000-0400,DROOLS-1587,Done,"Similarly to the ""for"" loop, there is the need to enable dynamic resolution for ""every"" and ""some"" FEEL construct.",Minor,Matteo Mortari,,2017-05-26T08:40:28.000-0400,FEEL constructs leveraging iterationContexts are not type aware,Resolved,bug,Bug
2020-10-15T11:45:32.000-0400,DROOLS-5713,Done,"Facts examples:
Value holder:
{code:java}
public class LongFact implements Serializable {
    private long value;

    public LongFact(long value) {
        this.value = value;
    }

    public long getValue() {
        return value;
    }

    public void setValue(long value) {
        this.value = value;
    }
}
{code}

List holder:

{code:java}

public class LongFacts implements Serializable {
    private List<LongFact> facts;

    public LongFacts() {
        this.facts = new ArrayList<>();
    }

    public List<LongFact> getFacts() {
        return facts;
    }

    public void setFacts(List<LongFact> facts) {
        this.facts = facts;
    }
}
{code}

And rule example:
{code:java}
package org.examples.rules;

import org.example.facts.data.LongFact
import org.example.facts.data.LongFacts

query getLongs()
    val: LongFact()
end

rule ""Extract long facts""
when
    LongFacts($lfs: facts)
    $lf: LongFact() from $lfs
then
    insertLogical($lf);
end
{code}

Now, if I create a persisted kie-session and insert info LongFacts object with at least one fact in list:

{code:java}
String id = UUID.randomUUID().toString();
LongFacts longFacts = new LongFacts();
longFacts.getFacts().add(new LongFact(123456));

// Further in the transaction
KieSession kieSession = kieStoreServices.newKieSession(kieBase, kieSessionConfiguration,
                createEnvironment(entityManagerFactory, transactionManager));
kieSession.execute(CommandFactory.newInsert(longFacts));
kieSession.fireAllRules();
// Commit transaction
{code}

Then, if I try to load this session I will get an exception:

{code:java}
java.lang.IllegalStateException: java.lang.reflect.InvocationTargetException

	at org.drools.persistence.jpa.KnowledgeStoreServiceImpl.buildCommandService(KnowledgeStoreServiceImpl.java:137)
	at org.drools.persistence.jpa.KnowledgeStoreServiceImpl.loadKieSession(KnowledgeStoreServiceImpl.java:104)
	at org.drools.persistence.jpa.KnowledgeStoreServiceImpl.loadKieSession(KnowledgeStoreServiceImpl.java:36)
	at org.example.drools_persistance_spring.service.DroolsService.loadSession(DroolsService.java:210)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
	at org.springframework.aop.support.AopUtils.invokeJoinpointUsingReflection(AopUtils.java:333)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ReflectiveMethodInvocation.java:190)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.invokeJoinpoint(CglibAopProxy.java:741)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:157)
	at org.springframework.aop.framework.CglibAopProxy$DynamicAdvisedInterceptor.intercept(CglibAopProxy.java:673)
	at org.example.drools_persistance_spring.service.DroolsService$$EnhancerBySpringCGLIB$$1d26e7ef.loadSession(<generated>)
	at org.example.drools_persistance_spring.service.DroolsService.getOrCreate(DroolsService.java:141)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
	at org.springframework.aop.support.AopUtils.invokeJoinpointUsingReflection(AopUtils.java:333)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ReflectiveMethodInvocation.java:190)
	at org.springframework.aop.framework.CglibAopProxy$CglibMethodInvocation.invokeJoinpoint(CglibAopProxy.java:741)
	at org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ReflectiveMethodInvocation.java:157)
	at org.springframework.aop.framework.CglibAopProxy$DynamicAdvisedInterceptor.intercept(CglibAopProxy.java:673)
	at org.example.drools_persistance_spring.service.DroolsService$$EnhancerBySpringCGLIB$$1d26e7ef.getOrCreate(<generated>)
	at org.example.drools_persistance_spring.service.DroolsService.sessionDump(DroolsService.java:216)
	at org.example.drools_persistance_spring.service.DroolsService$$FastClassBySpringCGLIB$$73fd435e.invoke(<generated>)
	at org.springframework.cglib.proxy.MethodProxy.invoke(MethodProxy.java:204)
	at org.springframework.aop.framework.CglibAopProxy$DynamicAdvisedInterceptor.intercept(CglibAopProxy.java:669)
	at org.example.drools_persistance_spring.service.DroolsService$$EnhancerBySpringCGLIB$$1d26e7ef.sessionDump(<generated>)
	at org.example.drools_persistance_spring.service.DroolsServiceTest.singleSessionWriteTest_withCacheDrop(DroolsServiceTest.java:190)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47)
	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
	at org.springframework.test.context.junit4.statements.RunBeforeTestMethodCallbacks.evaluate(RunBeforeTestMethodCallbacks.java:75)
	at org.springframework.test.context.junit4.statements.RunAfterTestMethodCallbacks.evaluate(RunAfterTestMethodCallbacks.java:86)
	at org.springframework.test.context.junit4.statements.SpringRepeat.evaluate(SpringRepeat.java:84)
	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325)
	at org.springframework.test.context.junit4.SpringJUnit4ClassRunner.runChild(SpringJUnit4ClassRunner.java:252)
	at org.springframework.test.context.junit4.SpringJUnit4ClassRunner.runChild(SpringJUnit4ClassRunner.java:94)
	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:290)
	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71)
	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288)
	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:58)
	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268)
	at org.springframework.test.context.junit4.statements.RunBeforeTestClassCallbacks.evaluate(RunBeforeTestClassCallbacks.java:61)
	at org.springframework.test.context.junit4.statements.RunAfterTestClassCallbacks.evaluate(RunAfterTestClassCallbacks.java:70)
	at org.junit.runners.ParentRunner.run(ParentRunner.java:363)
	at org.springframework.test.context.junit4.SpringJUnit4ClassRunner.run(SpringJUnit4ClassRunner.java:191)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:137)
	at com.intellij.junit4.JUnit4IdeaTestRunner.startRunnerWithArgs(JUnit4IdeaTestRunner.java:69)
	at com.intellij.rt.junit.IdeaTestRunner$Repeater.startRunnerWithArgs(IdeaTestRunner.java:33)
	at com.intellij.rt.junit.JUnitStarter.prepareStreamsAndStart(JUnitStarter.java:220)
	at com.intellij.rt.junit.JUnitStarter.main(JUnitStarter.java:53)
Caused by: java.lang.reflect.InvocationTargetException
	at sun.reflect.NativeConstructorAccessorImpl.newInstance0(Native Method)
	at sun.reflect.NativeConstructorAccessorImpl.newInstance(NativeConstructorAccessorImpl.java:62)
	at sun.reflect.DelegatingConstructorAccessorImpl.newInstance(DelegatingConstructorAccessorImpl.java:45)
	at java.lang.reflect.Constructor.newInstance(Constructor.java:423)
	at org.drools.persistence.jpa.KnowledgeStoreServiceImpl.buildCommandService(KnowledgeStoreServiceImpl.java:122)
	... 58 more
Caused by: java.lang.RuntimeException: Unable to load session snapshot
	at org.drools.persistence.api.SessionMarshallingHelper.loadSnapshot(SessionMarshallingHelper.java:104)
	at org.drools.persistence.PersistableRunner.initExistingKnowledgeSession(PersistableRunner.java:254)
	at org.drools.persistence.PersistableRunner.<init>(PersistableRunner.java:192)
	... 63 more
Caused by: java.lang.NullPointerException
	at org.drools.core.marshalling.impl.ProtobufInputMarshaller.readBeliefSet(ProtobufInputMarshaller.java:625)
	at org.drools.core.marshalling.impl.ProtobufInputMarshaller.readTruthMaintenanceSystem(ProtobufInputMarshaller.java:598)
	at org.drools.core.marshalling.impl.ProtobufInputMarshaller.readSession(ProtobufInputMarshaller.java:253)
	at org.drools.core.marshalling.impl.ProtobufInputMarshaller.readSession(ProtobufInputMarshaller.java:166)
	at org.drools.core.marshalling.impl.ProtobufMarshaller.unmarshallWithMessage(ProtobufMarshaller.java:141)
	at org.drools.core.marshalling.impl.ProtobufMarshaller.unmarshall(ProtobufMarshaller.java:92)
	at org.drools.core.marshalling.impl.ProtobufMarshaller.unmarshall(ProtobufMarshaller.java:50)
	at org.drools.persistence.api.SessionMarshallingHelper.loadSnapshot(SessionMarshallingHelper.java:99)
	... 65 more
{code}

If I change *insertLogical* on just *insert* kie session will be loaded correctly. But I need to use *insertLogical*.
",Major,Mario Fusco,,2020-10-09T05:55:51.000-0400,NPE when loading saved kie-session,Resolved,bug,Bug
2020-10-14T18:00:25.000-0400,DROOLS-5707,Done,"When users create a new DRD, the information requirement entry is being duplicated into the DMN XML.

Steps to reproduce:
- Create the Traffic Violation example
- Create a new DRD from the ""Driver"" node
- Open the DMN xml
- *Actual*: Notice that some information requirements are duplicated
- *Expected*: Information requirements shouldn't be duplicated",Critical,Guilherme Gomes,,2020-10-08T08:41:54.000-0400,[DMN Designer] Multiple DRDs support - Information requirements are duplicated into the DMN XML,Resolved,bug,Bug
2020-10-15T12:06:06.000-0400,DROOLS-5717,Done,None,Major,Luca Molteni,,2020-10-12T06:19:02.000-0400,ZipKieModule should support 0-byte resources,Resolved,bug,Bug
2020-10-15T12:03:17.000-0400,DROOLS-2836,Done,"RemoveRuleTest.testRemoveBigRule

java.lang.RuntimeException: This is a bug. Please contact the development team:
[org/drools/core/reteoo/compiled/Compiledorg_drools_compiler_test_SimpleFactNetwork8aecdf1db7f9b4f4abcbafdd301c63d7c.java (6279:25) : package org.drools.compiler.test does not exist, org/drools/core/reteoo/compiled/Compiledorg_drools_compiler_test_SimpleFactNetwork8aecdf1db7f9b4f4abcbafdd301c63d7c.java (6279:69) : package org.drools.compiler.test does not exist, org/drools/core/reteoo/compiled/Compiledorg_drools_compiler_test_SimpleFactNetwork8aecdf1db7f9b4f4abcbafdd301c63d7c.java (7899:25) : package org.drools.compiler.test does not exist, org/drools/core/reteoo/compiled/Compiledorg_drools_compiler_test_SimpleFactNetwork8aecdf1db7f9b4f4abcbafdd301c63d7c.java (7899:69) : package org.drools.compiler.test does not exist]
",Major,Luca Molteni,,2018-08-06T10:59:52.000-0400,Support compiling of a Big Rule,Resolved,bug,Bug
2020-10-14T11:20:31.000-0400,DROOLS-5705,Rejected,"See [https://github.com/triceo/drools/blob/0dc31d698de4a43b0e29f307d42f25a1bd0de6fb/drools-model/drools-model-compiler/src/test/java/org/drools/modelcompiler/GroupByTest.java#L719]

 

Also see the comment here, which may be hiding another issue:

https://github.com/triceo/drools/blob/0dc31d698de4a43b0e29f307d42f25a1bd0de6fb/drools-model/drools-model-compiler/src/test/java/org/drools/modelcompiler/GroupByTest.java#L736",Major,Mario Fusco,,2020-10-08T04:18:00.000-0400,GroupBy: custom accumulate function receives SubNetworkTuple,Resolved,bug,Bug
2020-10-14T12:40:14.000-0400,DROOLS-5704,Done,"See reproducer here:

https://github.com/triceo/drools/blob/0dc31d698de4a43b0e29f307d42f25a1bd0de6fb/drools-model/drools-model-compiler/src/test/java/org/drools/modelcompiler/GroupByTest.java#L677",Major,Mario Fusco,,2020-10-07T11:27:27.000-0400,GroupBy: Exception with 2 patterns and 2 expressions on the second pattern,Resolved,bug,Bug
2020-10-14T05:33:03.000-0400,DROOLS-5681,Done,"When using Java standard serialization mechanism, we can see that ByteArrayResource is now written twice

in ByteArrayResource
{code:java}
@Override
public void writeExternal(ObjectOutput out) throws IOException {
 super.writeExternal( out );
 out.writeObject( bytes );
 out.writeObject(this.encoding);
}{code}
And super class writeExternal:
{code:java}
public void writeExternal(ObjectOutput out) throws IOException {
//...
 out.writeObject( bytes );
}{code}
It works as it also read twice in ByteArrayResource#readExternal and ByteArrayResource#readExternal.

Anyway, moving the bytes attribute from child class to super class in [bb5e421df|https://github.com/kiegroup/drools/commit/bb5e421df8950cb2355071863b2c47886b323c01#diff-76e7c08df32cd05e6e52f3067b91e7a5] broke our project serialization as we rely on java serialization for our KieBase resources. Seems ok as we'll address it by some tweaking on serialVersionUID, but fixing this issue (read/write once instead of twice) will also break deserialization for projects which rely on it from 7.34.0.Final.


Don't know if it's ok to fix it in the next version. I can make a PR for this case.

 

 ",Major,Mario Fusco,,2020-09-29T10:03:47.000-0400,ByteArrayResource bytes attribute read/write twice,Resolved,bug,Bug
2020-10-12T12:17:33.000-0400,DROOLS-5711,Done,"h3. Summary:

When evaluating a decision model that contains a MultiInstanceDecision, the result will often times be {{[null]}}, because the engine will not evaluate the decision dependencies of the MID first, and simply execute the MID with empty inputs instead.
h3. Details:

The statement that will cause decisions to consider their requirements during evaluation is missing for MultiInstanceDecisions:
{code:java}
compiler.linkRequirements( model, di );{code}
 Inside {{org.kie.dmn.signavio.MultiInstanceDecisionLogic.MultiInstanceDecisionNodeCompiler#compileEvaluator}}",Minor,Matteo Mortari,,2020-10-09T04:45:04.000-0400,[DMN XML] Signavio Profile - MultiInstanceDecisionLogic: MID requirements are not linked,Resolved,bug,Bug
